dataset,model,cpu_load,n_samples,test_accuracy,test_precision,test_f1_score,test_recall,fit_time,emission_time,emissions,energy_consumed
Poker-hand,Neighbors,105.0,1025009.000000,0.191220,0.512217,0.519615,0.540956,122.088368,1.220884e+02,2.806467e-04,1.447655e-03
Poker-hand,NaiveBayes,104.0,1025009.000000,0.100000,0.251201,0.334668,0.501200,1.290506,1.290506e+00,2.965305e-06,1.529588e-05
Poker-hand,Neural,100.0,1025009.000000,0.800352,0.993112,0.992745,0.993376,1209.183719,1.209184e+03,2.778074e-03,1.433009e-02
