dataset,cpu_load,Linear_accuracy,Linear_time,Linear_emissions,Linear_energy_consumed,SupportVector_accuracy,SupportVector_time,SupportVector_emissions,SupportVector_energy_consumed,StochasticGradient_accuracy,StochasticGradient_time,StochasticGradient_emissions,StochasticGradient_energy_consumed,NaiveBayes_accuracy,NaiveBayes_time,NaiveBayes_emissions,NaiveBayes_energy_consumed,DecisionTree_accuracy,DecisionTree_time,DecisionTree_emissions,DecisionTree_energy_consumed,Forest_accuracy,Forest_time,Forest_emissions,Forest_energy_consumed,AdaBoost_accuracy,AdaBoost_time,AdaBoost_emissions,AdaBoost_energy_consumed
data/hepatitis/hepatitis.data,76.0,0.5806451612903226,0.0021288394927978516,1.4735029153764818e-08,2.470430420399905e-08,0.3548387096774194,0.0014569759368896484,1.0052791907570209e-08,1.685420685582161e-08,0.5806451612903226,0.0011451244354248047,7.836745595280183e-09,1.3138850635099414e-08,0.6774193548387096,0.0010271072387695312,7.030910572629264e-09,1.178781200938225e-08,0.6451612903225806,0.0009868144989013672,6.7337589080267375e-09,1.1289616516149046e-08,0.5806451612903226,0.0901644229888916,6.346538391413334e-07,1.0640414309853914e-06,0.6451612903225806,0.045116424560546875,3.174788530488956e-07,5.322754425669194e-07
data/hepatitis/hepatitis.data,87.0,0.8064516129032258,0.0023741722106933594,1.6452465045789585e-08,2.758370527505875e-08,0.6451612903225806,0.0015492439270019531,1.0687386987907805e-08,1.7918149773573876e-08,0.41935483870967744,0.0009882450103759766,6.7404741998821624e-09,1.1300875171363356e-08,0.41935483870967744,0.0009713172912597656,6.6212777694483804e-09,1.1101034041309359e-08,0.5806451612903226,0.0010063648223876953,6.866385922171368e-09,1.1511974956631661e-08,0.7741935483870968,0.09337115287780762,6.572440809429807e-07,1.101915547126329e-06,0.7096774193548387,0.046936750411987305,3.3025637462680424e-07,5.536978487759472e-07
data/hepatitis/hepatitis.data,89.0,0.7419354838709677,0.002376556396484375,1.646757445246429e-08,2.7609037249290946e-08,0.6451612903225806,0.0014843940734863281,1.0229068318775096e-08,1.714974655519724e-08,0.6451612903225806,0.0010631084442138672,7.056092917087106e-09,1.1830031966435912e-08,0.5483870967741935,0.0010128021240234375,6.906677673303914e-09,1.157952688791752e-08,0.7419354838709677,0.0009615421295166016,6.547409559038712e-09,1.0977188833951951e-08,0.6451612903225806,0.08952522277832031,6.301646665359821e-07,1.0565150199746252e-06,0.7419354838709677,0.0517268180847168,3.639839279706729e-07,6.102444445898176e-07
data/hepatitis/hepatitis.data,91.0,0.5806451612903226,0.002147197723388672,1.4869334990873303e-08,2.4929477308285242e-08,0.6129032258064516,0.0015130043029785156,1.0450672950004097e-08,1.752128217726946e-08,0.6451612903225806,0.0012035369873046875,8.259808982171915e-09,1.3848145913600923e-08,0.45161290322580644,0.0009701251983642578,6.6179201235206676e-09,1.1095404713702203e-08,0.6774193548387096,0.0009791851043701172,6.6750001042917756e-09,1.1191103283023837e-08,0.5161290322580645,0.09021615982055664,6.350248590163455e-07,1.064663471685982e-06,0.6129032258064516,0.04643082618713379,3.266955911204655e-07,5.477279468485594e-07
data/hepatitis/hepatitis.data,92.0,0.8064516129032258,0.0024182796478271484,1.6773120231886095e-08,2.8121306061542035e-08,0.7741935483870968,0.0017430782318115234,1.2060664172342081e-08,2.0220544764900212e-08,0.41935483870967744,0.0011823177337646484,8.10703609246101e-09,1.3592011507475377e-08,0.7096774193548387,0.0008993148803710938,6.1159520573277e-09,1.0253820236432554e-08,0.5483870967741935,0.0009818077087402344,6.693467156894191e-09,1.1222064584863187e-08,0.6774193548387096,0.09089374542236328,6.397843221188775e-07,1.0726430435691238e-06,0.6774193548387096,0.04938173294067383,3.4747270412114836e-07,5.825622260816337e-07
data/hepatitis/hepatitis.data,93.0,0.5483870967741935,0.002355337142944336,1.6328232146464236e-08,2.737542015359402e-08,0.5806451612903226,0.0016520023345947266,1.1415996154221345e-08,1.913971386432648e-08,0.5483870967741935,0.0011548995971679688,7.917329097545273e-09,1.3273954497671128e-08,0.5161290322580645,0.0009045600891113281,6.1579226314241015e-09,1.0324186831521989e-08,0.5806451612903226,0.0009610652923583984,6.547409559038712e-09,1.0977188833951951e-08,0.5806451612903226,0.1490621566772461,1.0493667606108454e-06,1.759336571727908e-06,0.6129032258064516,0.052289485931396484,3.674574126828911e-07,6.160679839994193e-07
data/hepatitis/hepatitis.data,102.0,0.6451612903225806,0.002267599105834961,1.571378294169291e-08,2.6345253201484683e-08,0.41935483870967744,0.0015637874603271484,1.0804904595377734e-08,1.81151762398243e-08,0.41935483870967744,0.0010654926300048828,7.287770486099244e-09,1.2218455571329596e-08,0.5806451612903226,0.0008890628814697266,6.047120315809601e-09,1.013841902048588e-08,0.5483870967741935,0.0009481906890869141,6.465147233809764e-09,1.0839270307576657e-08,0.6451612903225806,0.08989310264587402,6.327534115462481e-07,1.0608552315597416e-06,0.6774193548387096,0.0963444709777832,6.78167251541519e-07,1.1369947021103145e-06
data/hepatitis/hepatitis.data,102.0,0.6774193548387096,0.0024063587188720703,1.6692536729621006e-08,2.798620219897032e-08,0.6451612903225806,0.0017657279968261719,1.2221831176872264e-08,2.0490752490043644e-08,0.6129032258064516,0.0008914470672607422,6.062229722484305e-09,1.0163750994718076e-08,0.5806451612903226,0.0009353160858154297,6.367775501906111e-09,1.0676019806969166e-08,0.6129032258064516,0.0016562938690185547,1.143949967571533e-08,1.9179119157576564e-08,0.7096774193548387,0.09973454475402832,7.020602599631188e-07,1.1770529973628285e-06,0.7741935483870968,0.07887601852416992,5.551632506257118e-07,9.30769914549804e-07
data/hepatitis/hepatitis.data,125.0,0.7096774193548387,0.0032393932342529297,2.2531482997912454e-08,3.77756029078126e-08,0.45161290322580644,0.0066471099853515625,4.657558548625924e-08,7.808721790264846e-08,0.5161290322580645,0.0012993812561035156,8.933016990678202e-09,1.497682609883547e-08,0.6129032258064516,0.0009326934814453125,6.361060210050688e-09,1.0664761151754858e-08,0.5806451612903226,0.0012373924255371094,8.498201843039477e-09,1.4247828173708917e-08,0.6774193548387096,0.11099815368652344,7.813644991297523e-07,1.3100120861162188e-06,0.6774193548387096,0.07462310791015625,5.249864078503987e-07,8.801763326804997e-07
data/hepatitis/hepatitis.data,129.0,0.8064516129032258,0.012968301773071289,9.074709648827657e-08,1.5214383723857406e-07,0.7419354838709677,0.0020706653594970703,1.4306929297981516e-08,2.3986564934086806e-08,0.7419354838709677,0.0010077953338623047,6.86974356809908e-09,1.1517604284238817e-08,0.7419354838709677,0.01004648208618164,7.050384919009995e-08,1.1820462109503749e-07,0.6774193548387096,0.0010192394256591797,6.943611778508747e-09,1.1641449491596223e-08,0.7419354838709677,0.09496402740478516,6.684552606956116e-07,1.1207118720066191e-06,0.7741935483870968,0.04937624931335449,3.474021935566664e-07,5.824440102018834e-07
