dataset,model,cpu_load,n_samples,test_accuracy,test_precision,test_f1_score,test_recall,fit_time,emission_time,emissions,energy_consumed
Test 1 (P),Forest,100.0,45312.000000,0.908704,0.912892,0.912723,0.912933,6.450992,3.278819e+01,7.521550e-05,3.879827e-04
Test 1 (P),SupportVector,100.0,45312.000000,0.784673,0.798124,0.795473,0.797859,35.226362,2.059121e+02,4.728235e-04,2.438957e-03
Test 1 (P),SupportVector,100.0,45312.000000,0.787638,0.802116,0.798810,0.801390,32.790672,2.059121e+02,4.728235e-04,2.438957e-03
Test 1 (P),SupportVector,100.0,45312.000000,0.786580,0.801610,0.797988,0.800706,32.241163,2.059121e+02,4.728235e-04,2.438957e-03
Test 1 (P),SupportVector,100.0,45312.000000,0.790149,0.803681,0.800913,0.803244,32.649195,2.059121e+02,4.728235e-04,2.438957e-03
Test 1 (P),SupportVector,100.0,45312.000000,0.787100,0.802025,0.798461,0.801148,33.322834,2.059121e+02,4.728235e-04,2.438957e-03
Test 1 (P),Neighbors,100.0,45312.000000,0.831933,0.837076,0.837163,0.837471,0.108656,7.229187e+00,1.658381e-05,8.554399e-05
Test 1 (P),Neighbors,100.0,45312.000000,0.823545,0.830584,0.830365,0.831071,0.124731,7.229187e+00,1.658381e-05,8.554399e-05
Test 1 (P),Neighbors,100.0,45312.000000,0.829744,0.834950,0.835041,0.835356,0.113171,7.229187e+00,1.658381e-05,8.554399e-05
Test 1 (P),Neighbors,100.0,45312.000000,0.832356,0.837035,0.837138,0.837343,0.121304,7.229187e+00,1.658381e-05,8.554399e-05
Test 1 (P),Neighbors,100.0,45312.000000,0.832115,0.838103,0.838072,0.838557,0.113914,7.229187e+00,1.658381e-05,8.554399e-05
Test 1 (P),NaiveBayes,100.0,45312.000000,0.701267,0.766833,0.717364,0.737504,0.063445,1.242519e+00,2.850278e-06,1.470254e-05
Test 1 (P),NaiveBayes,100.0,45312.000000,0.684716,0.770119,0.698722,0.726139,0.061190,1.242519e+00,2.850278e-06,1.470254e-05
Test 1 (P),NaiveBayes,100.0,45312.000000,0.668150,0.765204,0.679492,0.712977,0.057346,1.242519e+00,2.850278e-06,1.470254e-05
Test 1 (P),NaiveBayes,100.0,45312.000000,0.699273,0.771841,0.715092,0.737144,0.065603,1.242519e+00,2.850278e-06,1.470254e-05
Test 1 (P),NaiveBayes,100.0,45312.000000,0.688221,0.768198,0.702879,0.728426,0.068579,1.242519e+00,2.850278e-06,1.470254e-05
Test 1 (P),GradientBoost,100.0,45312.000000,0.820974,0.828504,0.828162,0.828975,5.971085,3.065013e+01,7.031175e-05,3.626878e-04
Test 1 (P),GradientBoost,100.0,45312.000000,0.822488,0.832291,0.831030,0.832285,5.980047,3.065013e+01,7.031175e-05,3.626878e-04
Test 1 (P),GradientBoost,100.0,45312.000000,0.825201,0.834956,0.833687,0.834915,5.929123,3.065013e+01,7.031175e-05,3.626878e-04
Test 1 (P),GradientBoost,100.0,45312.000000,0.827570,0.835461,0.834931,0.835798,6.007058,3.065013e+01,7.031175e-05,3.626878e-04
Test 1 (P),GradientBoost,100.0,45312.000000,0.830138,0.838306,0.837646,0.838557,5.714347,3.065013e+01,7.031175e-05,3.626878e-04
Test 1 (P),Neural,100.0,45312.000000,0.822464,0.828060,0.828144,0.828534,37.381375,2.619016e+02,6.008179e-04,3.099188e-03
Test 1 (P),Neural,100.0,45312.000000,0.819457,0.829252,0.828033,0.829306,53.121441,2.619016e+02,6.008179e-04,3.099188e-03
Test 1 (P),Neural,100.0,45312.000000,0.817806,0.821589,0.821451,0.821342,49.977207,2.619016e+02,6.008179e-04,3.099188e-03
Test 1 (P),Neural,100.0,45312.000000,0.823601,0.829663,0.829675,0.830170,59.535549,2.619016e+02,6.008179e-04,3.099188e-03
Test 1 (P),Neural,100.0,45312.000000,0.817663,0.826420,0.825674,0.826749,60.929307,2.619016e+02,6.008179e-04,3.099188e-03
Test 2,Linear,66.0,45312.000000,0.742392,0.760573,0.755441,0.759903,0.097350,1.556918e+00,3.569679e-06,1.841341e-05
Test 2,Linear,66.0,45312.000000,0.744838,0.764322,0.758218,0.762992,0.095639,1.556918e+00,3.569679e-06,1.841341e-05
Test 2,Linear,66.0,45312.000000,0.743752,0.764479,0.757476,0.762635,0.098809,1.556918e+00,3.569679e-06,1.841341e-05
Test 2,Linear,66.0,45312.000000,0.743124,0.761173,0.756138,0.760539,0.103036,1.556918e+00,3.569679e-06,1.841341e-05
Test 2,Linear,66.0,45312.000000,0.741217,0.760332,0.754555,0.759325,0.095044,1.556918e+00,3.569679e-06,1.841341e-05
Test 2,Forest,59.5,45312.000000,0.899229,0.903710,0.903538,0.903785,5.724280,2.969148e+01,6.811534e-05,3.513581e-04
Test 2,Forest,59.5,45312.000000,0.901956,0.907441,0.906976,0.907315,5.541954,2.969148e+01,6.811534e-05,3.513581e-04
Test 2,Forest,59.5,45312.000000,0.899548,0.904418,0.904151,0.904436,5.612095,2.969148e+01,6.811534e-05,3.513581e-04
Test 2,Forest,59.5,45312.000000,0.903961,0.908233,0.908077,0.908298,5.602080,2.969148e+01,6.811534e-05,3.513581e-04
Test 2,Forest,59.5,45312.000000,0.906688,0.911960,0.911520,0.911830,5.513255,2.969148e+01,6.811534e-05,3.513581e-04
Test 2,SupportVector,50.5,45312.000000,0.784673,0.798124,0.795473,0.797859,29.016639,1.823963e+02,4.188622e-04,2.160609e-03
Test 2,SupportVector,50.5,45312.000000,0.787638,0.802116,0.798810,0.801390,28.712474,1.823963e+02,4.188622e-04,2.160609e-03
Test 2,SupportVector,50.5,45312.000000,0.786580,0.801610,0.797988,0.800706,28.791279,1.823963e+02,4.188622e-04,2.160609e-03
Test 2,SupportVector,50.5,45312.000000,0.790149,0.803681,0.800913,0.803244,28.894668,1.823963e+02,4.188622e-04,2.160609e-03
