dataset,cpu_load,Linear_accuracy,Linear_time,Linear_emissions,Linear_energy_consumed,SupportVector_accuracy,SupportVector_time,SupportVector_emissions,SupportVector_energy_consumed,StochasticGradient_accuracy,StochasticGradient_time,StochasticGradient_emissions,StochasticGradient_energy_consumed,NaiveBayes_accuracy,NaiveBayes_time,NaiveBayes_emissions,NaiveBayes_energy_consumed,DecisionTree_accuracy,DecisionTree_time,DecisionTree_emissions,DecisionTree_energy_consumed,Forest_accuracy,Forest_time,Forest_emissions,Forest_energy_consumed,AdaBoost_accuracy,AdaBoost_time,AdaBoost_emissions,AdaBoost_energy_consumed
data/adult/adult.data,167.0,0.8347409477595897,0.07121706008911133,5.011420852947508e-07,8.401996626782895e-07,0.7965050213445533,75.3633828163147,0.000530669384750056,0.0008897042398633344,0.787414391449894,1.0510742664337158,7.400862716236445e-06,1.2408062583793784e-05,0.7950922883203833,0.06000208854675293,4.222172601179487e-07,7.078766879445077e-07,0.9995700377752526,0.20332574844360352,1.4314366483711397e-06,2.399903389473665e-06,0.9995393261877706,5.209443092346191,3.668196614153815e-05,6.149987495137164e-05,0.8592180829827094,3.910280466079712,2.7533932220941112e-05,4.616255797122918e-05
data/adult/adult.data,143.0,0.8347409477595897,0.06614494323730469,4.6541841144685726e-07,7.803064316019656e-07,0.7965050213445533,47.114514112472534,0.0003317555702488195,0.000556211354811197,0.793126746721538,0.9452681541442871,6.655824588398611e-06,1.1158954193059375e-05,0.7950922883203833,0.06392574310302734,4.4985404374894756e-07,7.542116834789993e-07,0.9995700377752526,0.1581735610961914,1.113504513122003e-06,1.8668679876797796e-06,0.9995086146002887,5.246813058853149,3.694513171406037e-05,6.194109039056521e-05,0.8592180829827094,4.030113220214844,2.8377737182565567e-05,4.757725584819186e-05
data/adult/adult.data,134.0,0.8347409477595897,0.0658571720123291,4.6338535683762756e-07,7.768978737358333e-07,0.7965050213445533,46.480520725250244,0.00032729134663153425,0.000548726772519216,0.7869230060501827,1.3550825119018555,9.541538271564152e-06,1.5997054473054376e-05,0.7950922883203833,0.11450886726379395,8.060331237606535e-07,1.3513707560459853e-06,0.9995700377752526,0.29842281341552734,2.1010687639644147e-06,3.5225883408065922e-06,0.9995700377752526,5.228027582168579,3.681284885862333e-05,6.171930895616233e-05,0.8592180829827094,2.220350980758667,1.5634220163789844e-05,2.6211860654505543e-05
data/adult/adult.data,132.0,0.8347409477595897,0.06578230857849121,4.6286156407290446e-07,7.760196986291172e-07,0.7965050213445533,48.48888802528381,0.0003414332123768865,0.0005724365968934712,0.7927889192592366,1.1137592792510986,7.842245419309775e-06,1.3148071473719933e-05,0.7950922883203833,0.11671876907348633,8.215723091141053e-07,1.377423284211898e-06,0.9995700377752526,0.3028371334075928,2.1321471346713185e-06,3.5746933971384174e-06,0.9995393261877706,4.9383838176727295,3.4773325744513876e-05,5.8299906190394884e-05,0.8592180829827094,2.1378605365753174,1.5053449826496435e-05,2.5238158672959772e-05
data/adult/adult.data,134.0,0.8347409477595897,0.07368254661560059,5.184473924061792e-07,8.692132171655657e-07,0.7965050213445533,48.115029096603394,0.0003388006937366609,0.0005680229957643404,0.7944780565707441,1.2881639003753662,9.070307775016425e-06,1.5207003675364426e-05,0.7950922883203833,0.11918306350708008,8.389397326751965e-07,1.4065409812599065e-06,0.9995700377752526,0.3084738254547119,2.1718512977665146e-06,3.6412601960930235e-06,0.9995700377752526,4.361684799194336,3.071250817603653e-05,5.149166227843924e-05,0.8592180829827094,2.037243366241455,1.4344929455768398e-05,2.4050274849280778e-05
data/adult/adult.data,140.0,0.8347409477595897,0.06670808792114258,4.6938211246452147e-07,7.869518528422118e-07,0.7965050213445533,47.063323736190796,0.00033139512863730253,0.0005556070493072326,0.7822855563404072,0.8260974884033203,5.816680039321823e-06,9.752069822815431e-06,0.7950922883203833,0.11886978149414062,8.367236863629064e-07,1.4028256250391842e-06,0.9995700377752526,0.2997708320617676,2.1105406831264902e-06,3.5384686739863756e-06,0.9995393261877706,4.889070510864258,3.442608471796174e-05,5.7717732387918144e-05,0.8592180829827094,1.8079500198364258,1.2730403732605041e-05,2.1343409854716567e-05
data/adult/adult.data,121.0,0.8347409477595897,0.06531071662902832,4.5955260401114413e-07,7.704719962722661e-07,0.7965050213445533,47.830180168151855,0.0003367949619711679,0.0005646602465516113,0.2408095574460244,1.3549649715423584,9.540677035383696e-06,1.5995610550523142e-05,0.7950922883203833,0.13970518112182617,9.834410616431809e-07,1.648807538825226e-06,0.9995700377752526,0.303300142288208,2.135390620637488e-06,3.580131327606929e-06,0.9994779030128067,2.916778087615967,2.0538020070639356e-05,3.443342325816011e-05,0.8592180829827094,1.8456225395202637,1.2995667833832084e-05,2.178814362366462e-05
data/adult/adult.data,129.0,0.8347409477595897,0.08379173278808594,5.896748142937012e-07,9.88630958359945e-07,0.7965050213445533,50.24826240539551,0.00035382189337402156,0.0005932070847456334,0.7856638309634225,1.6807289123535156,1.183455861674698e-05,1.98414630291706e-05,0.7950922883203833,0.05517101287841797,3.8819423393244144e-07,6.508347113012077e-07,0.9995700377752526,0.25525879859924316,1.7971229028271628e-06,3.0130019031603103e-06,0.9995393261877706,2.6943581104278564,1.8972045907590718e-05,3.1807958340795354e-05,0.8592180829827094,1.8864963054656982,1.3283330791042896e-05,2.2270430637080003e-05
data/adult/adult.data,115.99999999999999,0.8347409477595897,0.06489872932434082,4.5662305793921527e-07,7.655604079350234e-07,0.7965050213445533,48.61537575721741,0.00034232390686389144,0.0005739299083304678,0.7936488437087313,1.0086562633514404,7.102173249799027e-06,1.1907288858516504e-05,0.7950922883203833,0.12101435661315918,8.518263777457557e-07,1.4281463406161666e-06,0.9995700377752526,0.1684257984161377,1.1856939005678145e-06,1.987898531233609e-06,0.9994779030128067,2.6891369819641113,1.8935266254098556e-05,3.1746294686186576e-05,0.8592180829827094,1.8862335681915283,1.3281593209275306e-05,2.2267517460043302e-05
data/adult/adult.data,151.0,0.8347409477595897,0.06719303131103516,4.72805232487824e-07,7.926909523377062e-07,0.7965050213445533,50.435078859329224,0.0003551372981732458,0.0005954124526463228,0.7947237492705997,1.1371347904205322,8.006840580332153e-06,1.342402674235027e-05,0.7950922883203833,0.05667424201965332,3.9879767977215645e-07,6.686121278846027e-07,0.9995700377752526,0.1631608009338379,1.1486187742340168e-06,1.9257394957954053e-06,0.9995700377752526,2.731766939163208,1.9235423011806387e-05,3.224952842762819e-05,0.8592180829827094,2.1779894828796387,1.53359823007297e-05,2.5711844073791424e-05
data/adult/adult.data,811.9999999999999,0.8347409477595897,0.718048095703125,5.055713239202923e-06,8.476255901912678e-06,0.7965050213445533,618.4581637382507,0.004354853357804835,0.007301215422945371,0.7935874205337674,14.634292125701904,0.00010304698286003034,0.00017276545470750122,0.7950922883203833,0.8155369758605957,5.738764186746299e-06,9.6214384610276e-06,0.9995700377752526,1.710702896118164,1.2042673905461397e-05,2.0190382827581073e-05,0.9995393261877706,26.084262132644653,0.0001836568208209562,0.0003079134709103043,0.8592180829827094,24.489551544189453,0.00017244187043194845,0.00028911082429511136
data/adult/adult.data,768.0,0.8347409477595897,0.6893277168273926,4.853383174421951e-06,8.13703543496933e-06,0.7965050213445533,547.5578010082245,0.0038556092355930592,0.006464197827766268,0.7872301219250023,14.61423921585083,0.00010290574348408114,0.00017252865704170625,0.7950922883203833,0.6353669166564941,4.473596485892501e-06,7.5002965599964385e-06,0.9995700377752526,2.1899235248565674,1.541503975292065e-05,2.584438940696569e-05,0.9995393261877706,27.782310009002686,0.00019562841336212794,0.0003279846808724419,0.8592180829827094,18.46132516860962,0.0001299897192530725,0.0002179368316349644
data/adult/adult.data,774.0,0.8347409477595897,0.7296707630157471,5.130518232826422e-06,8.601671691672482e-06,0.7965050213445533,591.3101139068604,0.004163693606867911,0.00698072276633601,0.7929117656091643,14.539665937423706,0.00010238067313508255,0.0001716483399758356,0.7950922883203833,0.6699075698852539,4.716804211020405e-06,7.908051275893094e-06,0.9995700377752526,1.6689198017120361,1.1751327610667886e-05,1.9701920441780642e-05,0.9995086146002887,27.565962553024292,0.0001940987571762564,0.0003254201055771399,0.8592180829827094,20.758860111236572,0.00014617279197196695,0.00024506888188278216
data/adult/adult.data,779.0,0.8347409477595897,0.9241156578063965,6.506728320978552e-06,1.0908983900663664e-05,0.7965050213445533,578.6012141704559,0.004074200523980716,0.006830681370372156,0.7868308712877369,17.501688957214355,0.00012323573556480017,0.00020661330686397365,0.7950922883203833,0.8254122734069824,5.81117517882334e-06,9.7428405402035e-06,0.9995700377752526,2.2821249961853027,1.6069230054892377e-05,2.6941185080633313e-05,0.9995700377752526,29.388715028762817,0.0002069399061444952,0.0003469491875443233,0.8592180829827094,19.747359037399292,0.00013904391704292778,0.0002331168257964697
data/adult/adult.data,788.0,0.8347409477595897,0.5646622180938721,3.971803017287775e-06,6.659004807762362e-06,0.7965050213445533,557.3068413734436,0.003924256758188512,0.006579290187839114,0.7944166333957803,16.84251618385315,0.00011859590202902665,0.000198834302294147,0.7950922883203833,0.6970844268798828,4.9081816347851775e-06,8.228908876181901e-06,0.9995700377752526,2.045598268508911,1.4400701633450659e-05,2.414378079549942e-05,0.9995393261877706,34.341736793518066,0.00024181283645545462,0.00040541608773818436,0.8592180829827094,18.932562589645386,0.0001333068367156142,0.00022349821044323706
data/adult/adult.data,748.0,0.8347409477595897,0.5654549598693848,3.977311235432187e-06,6.6682397197018995e-06,0.7965050213445533,581.8777542114258,0.004097262758464536,0.006869346815168149,0.7922975338595252,11.546903610229492,8.130715554601608e-05,0.00013631711777492076,0.7950922883203833,0.7675380706787109,5.404278857073541e-06,9.06065047413044e-06,0.9995700377752526,1.4935622215270996,1.0512589619734075e-05,1.76250897930092e-05,0.9995086146002887,33.362361907958984,0.0002349183806133276,0.0003938570516027569,0.8592180829827094,19.035834789276123,0.0001340401633744562,0.0002247276837392778
data/adult/adult.data,836.0,0.8347409477595897,0.5548880100250244,3.902158725455169e-06,6.5422412945347555e-06,0.7965050213445533,553.1866128444672,0.0038952456027805072,0.006530650962152496,0.7932188814839839,10.726195812225342,7.552814661518023e-05,0.0001266282061931938,0.7950922883203833,0.6659660339355469,4.6841678926030425e-06,7.853334211551548e-06,0.9995700377752526,1.5162112712860107,1.0672146633041921e-05,1.7892598255565002e-05,0.9995393261877706,27.647876024246216,0.0001946771821978693,0.0003263898754733521,0.8592180829827094,23.856661319732666,0.00016798597713420983,0.00028164020836492367
data/adult/adult.data,746.0,0.8347409477595897,0.5865921974182129,4.130074052205306e-06,6.924357237844623e-06,0.7965050213445533,538.7413527965546,0.0037935211697902346,0.006360102854554832,0.7839132704769509,15.196941137313843,0.00010700488186553147,0.00017940114846964235,0.7950922883203833,0.6701071262359619,4.718029751784019e-06,7.910105980469704e-06,0.9995700377752526,1.449899435043335,1.0209088646682246e-05,1.711624924127087e-05,0.9995393261877706,25.13667607307434,0.00017699907230144102,0.000296751291112526,0.8592180829827094,18.153645277023315,0.00012782327208642666,0.00021430463184165513
