dataset,model,cpu_load,n_samples,test_accuracy,test_precision,test_f1_score,test_recall,fit_time,emission_time,emissions,energy_consumed
Eeg-eye-state,Linear,50.5,14980.000000,0.568244,0.581190,0.572345,0.587116,0.047732,6.116943e-01,1.402265e-06,7.233280e-06
Eeg-eye-state,Linear,50.5,14980.000000,0.608108,0.622090,0.614053,0.624499,0.050867,6.116943e-01,1.402265e-06,7.233280e-06
Eeg-eye-state,Linear,50.5,14980.000000,0.575226,0.590110,0.578755,0.594793,0.050725,6.116943e-01,1.402265e-06,7.233280e-06
Eeg-eye-state,Linear,50.5,14980.000000,0.572003,0.587660,0.574770,0.592457,0.065584,6.116943e-01,1.402265e-06,7.233280e-06
Eeg-eye-state,Linear,50.5,14980.000000,0.551559,0.564465,0.553470,0.572430,0.062284,6.116943e-01,1.402265e-06,7.233280e-06
Eeg-eye-state,Forest,54.0,14980.000000,0.920009,0.924347,0.923300,0.923565,2.581812,1.336245e+01,3.063941e-05,1.580467e-04
Eeg-eye-state,Forest,54.0,14980.000000,0.925633,0.928518,0.928082,0.928238,2.556674,1.336245e+01,3.063941e-05,1.580467e-04
Eeg-eye-state,Forest,54.0,14980.000000,0.932428,0.935729,0.935080,0.935247,2.564119,1.336245e+01,3.063941e-05,1.580467e-04
Eeg-eye-state,Forest,54.0,14980.000000,0.921786,0.926588,0.925279,0.925567,2.559287,1.336245e+01,3.063941e-05,1.580467e-04
Eeg-eye-state,Forest,54.0,14980.000000,0.925311,0.928696,0.928049,0.928238,2.562134,1.336245e+01,3.063941e-05,1.580467e-04
Eeg-eye-state,SupportVector,55.00000000000001,14980.000000,0.711095,0.741968,0.718692,0.728972,4.610469,3.041998e+01,6.982841e-05,3.601946e-04
Eeg-eye-state,SupportVector,55.00000000000001,14980.000000,0.678565,0.702872,0.685474,0.695928,4.751733,3.041998e+01,6.982841e-05,3.601946e-04
Eeg-eye-state,SupportVector,55.00000000000001,14980.000000,0.664319,0.733539,0.664168,0.691923,4.505793,3.041998e+01,6.982841e-05,3.601946e-04
Eeg-eye-state,SupportVector,55.00000000000001,14980.000000,0.606385,0.657526,0.600270,0.635514,4.815776,3.041998e+01,6.982841e-05,3.601946e-04
Eeg-eye-state,SupportVector,55.00000000000001,14980.000000,0.583846,0.633983,0.572190,0.615154,4.994924,3.041998e+01,6.982841e-05,3.601946e-04
Eeg-eye-state,Neighbors,54.50000000000001,14980.000000,0.912732,0.913571,0.913560,0.913551,0.035743,3.141750e+00,7.208474e-06,3.718334e-05
Eeg-eye-state,Neighbors,54.50000000000001,14980.000000,0.862805,0.864182,0.864166,0.864152,0.033577,3.141750e+00,7.208474e-06,3.718334e-05
Eeg-eye-state,Neighbors,54.50000000000001,14980.000000,0.899801,0.901829,0.901758,0.901869,0.034059,3.141750e+00,7.208474e-06,3.718334e-05
Eeg-eye-state,Neighbors,54.50000000000001,14980.000000,0.810271,0.815467,0.814644,0.815421,0.033481,3.141750e+00,7.208474e-06,3.718334e-05
Eeg-eye-state,Neighbors,54.50000000000001,14980.000000,0.835261,0.837074,0.837093,0.837116,0.033454,3.141750e+00,7.208474e-06,3.718334e-05
Eeg-eye-state,NaiveBayes,54.50000000000001,14980.000000,0.539649,0.554566,0.498317,0.518024,0.019303,3.513958e-01,8.061733e-07,4.158469e-06
Eeg-eye-state,NaiveBayes,54.50000000000001,14980.000000,0.506419,0.532529,0.346248,0.461949,0.018645,3.513958e-01,8.061733e-07,4.158469e-06
Eeg-eye-state,NaiveBayes,54.50000000000001,14980.000000,0.497959,0.490612,0.312686,0.450935,0.019079,3.513958e-01,8.061733e-07,4.158469e-06
Eeg-eye-state,NaiveBayes,54.50000000000001,14980.000000,0.497657,0.476541,0.297273,0.448932,0.018687,3.513958e-01,8.061733e-07,4.158469e-06
Eeg-eye-state,NaiveBayes,54.50000000000001,14980.000000,0.494353,0.434044,0.292478,0.445594,0.018561,3.513958e-01,8.061733e-07,4.158469e-06
Eeg-eye-state,GradientBoost,53.5,14980.000000,0.799971,0.806920,0.805204,0.806409,2.786239,1.429274e+01,3.277247e-05,1.690496e-04
Eeg-eye-state,GradientBoost,53.5,14980.000000,0.801522,0.813427,0.808236,0.810414,2.778339,1.429274e+01,3.277247e-05,1.690496e-04
Eeg-eye-state,GradientBoost,53.5,14980.000000,0.808824,0.816316,0.814169,0.815421,2.779138,1.429274e+01,3.277247e-05,1.690496e-04
Eeg-eye-state,GradientBoost,53.5,14980.000000,0.801759,0.814020,0.808504,0.810748,2.804257,1.429274e+01,3.277247e-05,1.690496e-04
Eeg-eye-state,GradientBoost,53.5,14980.000000,0.805836,0.815131,0.811789,0.813418,2.793903,1.429274e+01,3.277247e-05,1.690496e-04
Eeg-eye-state,Neural,95.0,14980.000000,0.923741,0.925206,0.925178,0.925234,20.380724,1.352892e+02,3.102203e-04,1.600204e-03
Eeg-eye-state,Neural,95.0,14980.000000,0.892561,0.893566,0.893543,0.893525,24.147391,1.352892e+02,3.102203e-04,1.600204e-03
Eeg-eye-state,Neural,95.0,14980.000000,0.924212,0.924917,0.924908,0.924900,27.827401,1.352892e+02,3.102203e-04,1.600204e-03
Eeg-eye-state,Neural,95.0,14980.000000,0.856847,0.860091,0.859846,0.860147,25.771316,1.352892e+02,3.102203e-04,1.600204e-03
Eeg-eye-state,Neural,95.0,14980.000000,0.877264,0.879772,0.879662,0.879840,36.885870,1.352892e+02,3.102203e-04,1.600204e-03
Eeg-eye-state-P,Linear,91.5,14980.000000,0.568244,0.581190,0.572345,0.587116,0.049802,1.408393e+00,3.237885e-06,1.670193e-05
Eeg-eye-state-P,Linear,91.5,14980.000000,0.608108,0.622090,0.614053,0.624499,0.056449,1.408393e+00,3.237885e-06,1.670193e-05
Eeg-eye-state-P,Linear,91.5,14980.000000,0.575226,0.590110,0.578755,0.594793,0.056435,1.408393e+00,3.237885e-06,1.670193e-05
Eeg-eye-state-P,Linear,91.5,14980.000000,0.572003,0.587660,0.574770,0.592457,0.074215,1.408393e+00,3.237885e-06,1.670193e-05
Eeg-eye-state-P,Linear,91.5,14980.000000,0.551559,0.564465,0.553470,0.572430,0.064981,1.408393e+00,3.237885e-06,1.670193e-05
Eeg-eye-state-P,Forest,89.0,14980.000000,0.921219,0.925799,0.924624,0.924900,2.573072,8.101346e+00,1.863429e-05,9.612092e-05
Eeg-eye-state-P,Forest,89.0,14980.000000,0.924612,0.928023,0.927379,0.927570,2.560689,8.101346e+00,1.863429e-05,9.612092e-05
Eeg-eye-state-P,Forest,89.0,14980.000000,0.929358,0.932727,0.932065,0.932243,2.530719,8.101346e+00,1.863429e-05,9.612092e-05
Eeg-eye-state-P,Forest,89.0,14980.000000,0.922598,0.927149,0.925965,0.926235,2.536478,8.101346e+00,1.863429e-05,9.612092e-05
Eeg-eye-state-P,Forest,89.0,14980.000000,0.922942,0.926895,0.926004,0.926235,2.538231,8.101346e+00,1.863429e-05,9.612092e-05
Eeg-eye-state-P,SupportVector,88.0,14980.000000,0.711095,0.741968,0.718692,0.728972,4.566468,1.837085e+01,4.234317e-05,2.184180e-04
Eeg-eye-state-P,SupportVector,88.0,14980.000000,0.678565,0.702872,0.685474,0.695928,4.795347,1.837085e+01,4.234317e-05,2.184180e-04
Eeg-eye-state-P,SupportVector,88.0,14980.000000,0.664319,0.733539,0.664168,0.691923,4.553790,1.837085e+01,4.234317e-05,2.184180e-04
Eeg-eye-state-P,SupportVector,88.0,14980.000000,0.606385,0.657526,0.600270,0.635514,4.889194,1.837085e+01,4.234317e-05,2.184180e-04
Eeg-eye-state-P,SupportVector,88.0,14980.000000,0.583846,0.633983,0.572190,0.615154,5.083504,1.837085e+01,4.234317e-05,2.184180e-04
Eeg-eye-state-P,Neighbors,88.0,14980.000000,0.912732,0.913571,0.913560,0.913551,0.034266,1.400641e+00,3.225751e-06,1.663933e-05
Eeg-eye-state-P,Neighbors,88.0,14980.000000,0.862805,0.864182,0.864166,0.864152,0.035208,1.400641e+00,3.225751e-06,1.663933e-05
Eeg-eye-state-P,Neighbors,88.0,14980.000000,0.899801,0.901829,0.901758,0.901869,0.033823,1.400641e+00,3.225751e-06,1.663933e-05
Eeg-eye-state-P,Neighbors,88.0,14980.000000,0.810271,0.815467,0.814644,0.815421,0.033889,1.400641e+00,3.225751e-06,1.663933e-05
Eeg-eye-state-P,Neighbors,88.0,14980.000000,0.835261,0.837074,0.837093,0.837116,0.033923,1.400641e+00,3.225751e-06,1.663933e-05
Eeg-eye-state-P,NaiveBayes,85.0,14980.000000,0.539649,0.554566,0.498317,0.518024,0.019811,3.433464e-01,7.901344e-07,4.075736e-06
Eeg-eye-state-P,NaiveBayes,85.0,14980.000000,0.506419,0.532529,0.346248,0.461949,0.020910,3.433464e-01,7.901344e-07,4.075736e-06
Eeg-eye-state-P,NaiveBayes,85.0,14980.000000,0.497959,0.490612,0.312686,0.450935,0.020753,3.433464e-01,7.901344e-07,4.075736e-06
Eeg-eye-state-P,NaiveBayes,85.0,14980.000000,0.497657,0.476541,0.297273,0.448932,0.019690,3.433464e-01,7.901344e-07,4.075736e-06
Eeg-eye-state-P,NaiveBayes,85.0,14980.000000,0.494353,0.434044,0.292478,0.445594,0.019464,3.433464e-01,7.901344e-07,4.075736e-06
Eeg-eye-state-P,GradientBoost,83.5,14980.000000,0.799971,0.806920,0.805204,0.806409,2.804738,8.733678e+00,2.010232e-05,1.036935e-04
Eeg-eye-state-P,GradientBoost,83.5,14980.000000,0.801825,0.813817,0.808558,0.810748,2.808333,8.733678e+00,2.010232e-05,1.036935e-04
Eeg-eye-state-P,GradientBoost,83.5,14980.000000,0.808824,0.816316,0.814169,0.815421,2.803662,8.733678e+00,2.010232e-05,1.036935e-04
Eeg-eye-state-P,GradientBoost,83.5,14980.000000,0.801759,0.814020,0.808504,0.810748,2.811043,8.733678e+00,2.010232e-05,1.036935e-04
Eeg-eye-state-P,GradientBoost,83.5,14980.000000,0.805836,0.815131,0.811789,0.813418,2.795246,8.733678e+00,2.010232e-05,1.036935e-04
Eeg-eye-state-P,Neural,80.5,14980.000000,0.919819,0.919791,0.919327,0.919226,20.031529,7.262294e+01,1.671630e-04,8.622741e-04
Eeg-eye-state-P,Neural,80.5,14980.000000,0.903375,0.903818,0.903615,0.903538,32.883557,7.262294e+01,1.671630e-04,8.622741e-04
Eeg-eye-state-P,Neural,80.5,14980.000000,0.918167,0.919199,0.919209,0.919226,23.787666,7.262294e+01,1.671630e-04,8.622741e-04
Eeg-eye-state-P,Neural,80.5,14980.000000,0.846603,0.851427,0.850566,0.851135,19.373044,7.262294e+01,1.671630e-04,8.622741e-04
Eeg-eye-state-P,Neural,80.5,14980.000000,0.861266,0.864444,0.864201,0.864486,28.520330,7.262294e+01,1.671630e-04,8.622741e-04
Electricity,Linear,66.0,45312.000000,0.742392,0.760573,0.755441,0.759903,0.097350,1.556918e+00,3.569679e-06,1.841341e-05
Electricity,Linear,66.0,45312.000000,0.744838,0.764322,0.758218,0.762992,0.095639,1.556918e+00,3.569679e-06,1.841341e-05
Electricity,Linear,66.0,45312.000000,0.743752,0.764479,0.757476,0.762635,0.098809,1.556918e+00,3.569679e-06,1.841341e-05
Electricity,Linear,66.0,45312.000000,0.743124,0.761173,0.756138,0.760539,0.103036,1.556918e+00,3.569679e-06,1.841341e-05
Electricity,Linear,66.0,45312.000000,0.741217,0.760332,0.754555,0.759325,0.095044,1.556918e+00,3.569679e-06,1.841341e-05
Electricity,Forest,59.5,45312.000000,0.899229,0.903710,0.903538,0.903785,5.724280,2.969148e+01,6.811534e-05,3.513581e-04
Electricity,Forest,59.5,45312.000000,0.901956,0.907441,0.906976,0.907315,5.541954,2.969148e+01,6.811534e-05,3.513581e-04
Electricity,Forest,59.5,45312.000000,0.899548,0.904418,0.904151,0.904436,5.612095,2.969148e+01,6.811534e-05,3.513581e-04
Electricity,Forest,59.5,45312.000000,0.903961,0.908233,0.908077,0.908298,5.602080,2.969148e+01,6.811534e-05,3.513581e-04
Electricity,Forest,59.5,45312.000000,0.906688,0.911960,0.911520,0.911830,5.513255,2.969148e+01,6.811534e-05,3.513581e-04
Electricity,SupportVector,50.5,45312.000000,0.784673,0.798124,0.795473,0.797859,29.016639,1.823963e+02,4.188622e-04,2.160609e-03
Electricity,SupportVector,50.5,45312.000000,0.787638,0.802116,0.798810,0.801390,28.712474,1.823963e+02,4.188622e-04,2.160609e-03
Electricity,SupportVector,50.5,45312.000000,0.786580,0.801610,0.797988,0.800706,28.791279,1.823963e+02,4.188622e-04,2.160609e-03
Electricity,SupportVector,50.5,45312.000000,0.790149,0.803681,0.800913,0.803244,28.894668,1.823963e+02,4.188622e-04,2.160609e-03
Electricity,SupportVector,50.5,45312.000000,0.787100,0.802025,0.798461,0.801148,28.792705,1.823963e+02,4.188622e-04,2.160609e-03
Electricity,Neighbors,50.5,45312.000000,0.831933,0.837076,0.837163,0.837471,0.118632,6.138281e+00,1.409703e-05,7.271643e-05
Electricity,Neighbors,50.5,45312.000000,0.823545,0.830584,0.830365,0.831071,0.110121,6.138281e+00,1.409703e-05,7.271643e-05
