dataset,cpu_load,Linear_accuracy,Linear_time,Linear_emissions,Linear_energy_consumed,SupportVector_accuracy,SupportVector_time,SupportVector_emissions,SupportVector_energy_consumed,StochasticGradient_accuracy,StochasticGradient_time,StochasticGradient_emissions,StochasticGradient_energy_consumed,NaiveBayes_accuracy,NaiveBayes_time,NaiveBayes_emissions,NaiveBayes_energy_consumed,DecisionTree_accuracy,DecisionTree_time,DecisionTree_emissions,DecisionTree_energy_consumed,Forest_accuracy,Forest_time,Forest_emissions,Forest_energy_consumed,AdaBoost_accuracy,AdaBoost_time,AdaBoost_emissions,AdaBoost_energy_consumed
data/ionosphere/ionosphere.data,50.0,0.8571428571428571,0.00853419303894043,5.981310455626443e-08,1.0028084199385645e-07,0.9571428571428572,0.0030460357666015625,2.120857050239386e-08,3.555764783059359e-08,0.8142857142857143,0.0012629032135009766,8.489807728220197e-09,1.423375485469103e-08,0.8857142857142857,0.0010721683502197266,7.336456352051071e-09,1.230008082163334e-08,0.9,0.004289150238037109,2.9963632258903314e-08,5.023611956624985e-08,0.9285714285714286,0.1343522071838379,9.45785062563889e-07,1.5856746297109845e-06,0.9571428571428572,0.20539045333862305,1.4459769340610973e-06,2.424281192676449e-06
data/ionosphere/ionosphere.data,57.99999999999999,0.8428571428571429,0.002773761749267578,1.925609939542924e-08,3.228419382703305e-08,0.8857142857142857,0.002402067184448242,1.6697573198512572e-08,2.7994646190381054e-08,0.8285714285714286,0.0012860298156738281,8.840681727666117e-09,1.482201958963871e-08,0.8857142857142857,0.0010676383972167969,7.3062375387016614e-09,1.2249416873168948e-08,0.9,0.004853248596191406,3.393740621435066e-08,5.689842878931761e-08,0.9285714285714286,0.12588953971862793,8.862036355766368e-07,1.4857822113220218e-06,0.9142857142857143,0.0770719051361084,5.424595972582128e-07,9.094713535481335e-07
data/ionosphere/ionosphere.data,61.0,0.9,0.0028166770935058594,1.957675458152575e-08,3.2821794613516335e-08,0.9,0.00244140625,1.6966184872729545e-08,2.844499239895344e-08,0.8571428571428571,0.0017533302307128906,1.1931394804125163e-08,2.000381565202475e-08,0.8714285714285714,0.001077413558959961,7.37506928021976e-09,1.2364818089115622e-08,0.8285714285714286,0.003658771514892578,2.5544970218034117e-08,4.2827924435234076e-08,0.9,0.11938071250915527,8.403835204241128e-07,1.408961592130983e-06,0.9285714285714286,0.09625840187072754,6.774940435330127e-07,1.13586602192508e-06
data/ionosphere/ionosphere.data,67.0,0.8571428571428571,0.0028188228607177734,1.957675458152575e-08,3.2821794613516335e-08,0.9571428571428572,0.002714872360229492,1.8891794812272474e-08,3.167341178165675e-08,0.8142857142857143,0.0014061927795410156,9.678414386630302e-09,1.6226536827623847e-08,0.9285714285714286,0.0010879039764404297,7.45229513655714e-09,1.2494292624080184e-08,0.8714285714285714,0.0037529468536376953,2.6196353528010275e-08,4.3920013991022116e-08,0.9571428571428572,0.12015748023986816,8.458531256403559e-07,1.4181317668030383e-06,0.9,0.07713532447814941,5.429078429895623e-07,9.102228687836887e-07
data/ionosphere/ionosphere.data,72.0,0.9142857142857143,0.0029480457305908203,2.0483318982008035e-08,3.4341713067448144e-08,0.9857142857142858,0.002686023712158203,1.8671869004007324e-08,3.1304690823388104e-08,0.8857142857142857,0.001413106918334961,9.66666262588331e-09,1.6206834180998805e-08,0.9285714285714286,0.001140594482421875,7.798132667111491e-09,1.3074113367617131e-08,0.9285714285714286,0.004914760589599609,3.4380615476808665e-08,5.764150003346206e-08,0.9571428571428572,0.11946320533752441,8.409795025762817e-07,1.409960797781253e-06,0.9571428571428572,0.12787151336669922,9.001647273440641e-07,1.5091889555125718e-06
data/ionosphere/ionosphere.data,77.0,0.8285714285714286,0.0026459693908691406,1.8352892640874668e-08,3.0769904700708395e-08,0.9142857142857143,0.002476215362548828,1.7206256556560965e-08,2.884748932286501e-08,0.8714285714285714,0.0013232231140136719,9.110972224846948e-09,1.5275180462014678e-08,0.8857142857142857,0.0014379024505615234,9.911770778606296e-09,1.6617775096321107e-08,0.8857142857142857,0.003191709518432617,2.2241046625165348e-08,3.7288666069793705e-08,0.9428571428571428,0.1138458251953125,8.014197182559771e-07,1.3436360599137548e-06,0.9571428571428572,0.0797579288482666,5.613530708934491e-07,9.411475799935939e-07
data/ionosphere/ionosphere.data,88.0,0.9428571428571428,0.0028290748596191406,1.965398043786313e-08,3.2951269148480897e-08,1.0,0.0027379989624023438,1.9056319462730368e-08,3.1949248834407336e-08,0.8857142857142857,0.0012531280517578125,8.610682981617835e-09,1.4436410648548604e-08,0.9428571428571428,0.0011332035064697266,7.76959267672594e-09,1.3026264082956317e-08,0.9142857142857143,0.004594564437866211,3.212595623634995e-08,5.386140654525758e-08,0.9714285714285714,0.21915268898010254,1.5429239237548943e-06,2.5868195833416346e-06,0.9285714285714286,0.07846856117248535,5.522991786493732e-07,9.259680981009008e-07
data/ionosphere/ionosphere.data,90.0,0.9285714285714286,0.012724637985229492,8.921097347634826e-08,1.4956841985830073e-07,0.9857142857142858,0.0026366710662841797,1.834449852605539e-08,3.0755831381690506e-08,0.9285714285714286,0.0015306472778320312,1.0573227026365594e-08,1.7726752634930614e-08,0.9142857142857143,0.006174564361572266,4.323808543411334e-08,7.249166626113654e-08,0.9428571428571428,0.003999948501586914,2.792050471189047e-08,4.681067371729613e-08,0.9857142857142858,0.12339973449707031,8.68691833240654e-07,1.4564224531869056e-06,0.9714285714285714,0.08144307136535645,5.732475315923693e-07,9.610894730419398e-07
data/ionosphere/ionosphere.data,91.0,0.8428571428571429,0.0028257369995117188,1.9632155739333002e-08,3.291467851903439e-08,0.8857142857142857,0.002482891082763672,1.7244869484729657e-08,2.8912226590347296e-08,0.8714285714285714,0.014278888702392578,1.0033317561189479e-07,1.6821556755700116e-07,0.8285714285714286,0.0011036396026611328,7.558060983280073e-09,1.267161644370556e-08,0.8714285714285714,0.004254579544067383,2.9730275866927326e-08,4.9844881297552595e-08,0.8714285714285714,0.11921048164367676,8.39189877296811e-07,1.4069603661666394e-06,0.8857142857142857,0.09406375885009766,6.621177040070549e-07,1.1100865161481143e-06
data/ionosphere/ionosphere.data,100.0,0.8571428571428571,0.0028641223907470703,1.9904125059477685e-08,3.337065405521393e-08,0.9428571428571428,0.0025975704193115234,1.806413509109142e-08,3.0285782526493075e-08,0.7714285714285715,0.0014908313751220703,1.0260965955088362e-08,1.720322516746521e-08,0.9142857142857143,0.0012202262878417969,8.382363058533408e-09,1.4053616371262076e-08,0.8857142857142857,0.0040891170501708984,2.8576924490758198e-08,4.7911207264494906e-08,0.9285714285714286,0.1225883960723877,8.629787986946516e-07,1.4468441522633315e-06,0.9,0.07910466194152832,5.567950665465798e-07,9.335057677668811e-07
