dataset,model,cpu_load,n_samples,test_accuracy,test_precision,test_f1_score,test_recall,fit_time,emission_time,emissions,energy_consumed
Eeg-eye-state-T1-P,Forest,100.0,14980.000000,0.929473,0.932647,0.932077,0.932243,2.705816,1.390203e+01,3.187474e-05,1.644189e-04
Eeg-eye-state-T1-P,Forest,100.0,14980.000000,0.924473,0.928104,0.927364,0.927570,2.619456,1.390203e+01,3.187474e-05,1.644189e-04
Eeg-eye-state-T1-P,Forest,100.0,14980.000000,0.930708,0.934070,0.933403,0.933578,2.642256,1.390203e+01,3.187474e-05,1.644189e-04
Eeg-eye-state-T1-P,Forest,100.0,14980.000000,0.921855,0.926531,0.925287,0.925567,2.538882,1.390203e+01,3.187474e-05,1.644189e-04
Eeg-eye-state-T1-P,Forest,100.0,14980.000000,0.925476,0.929136,0.928366,0.928571,2.812923,1.390203e+01,3.187474e-05,1.644189e-04
Eeg-eye-state-T1-P,SupportVector,108.0,14980.000000,0.711095,0.741968,0.718692,0.728972,6.598632,3.542793e+01,8.131051e-05,4.194225e-04
Eeg-eye-state-T1-P,SupportVector,108.0,14980.000000,0.678565,0.702872,0.685474,0.695928,5.708547,3.542793e+01,8.131051e-05,4.194225e-04
Eeg-eye-state-T1-P,SupportVector,108.0,14980.000000,0.664319,0.733539,0.664168,0.691923,5.045213,3.542793e+01,8.131051e-05,4.194225e-04
Eeg-eye-state-T1-P,SupportVector,108.0,14980.000000,0.606385,0.657526,0.600270,0.635514,5.299256,3.542793e+01,8.131051e-05,4.194225e-04
Eeg-eye-state-T1-P,SupportVector,108.0,14980.000000,0.583846,0.633983,0.572190,0.615154,5.655272,3.542793e+01,8.131051e-05,4.194225e-04
Eeg-eye-state-T1-P,Neighbors,108.0,14980.000000,0.912732,0.913571,0.913560,0.913551,0.039133,2.610572e+00,5.989502e-06,3.089554e-05
Eeg-eye-state-T1-P,Neighbors,108.0,14980.000000,0.862805,0.864182,0.864166,0.864152,0.038846,2.610572e+00,5.989502e-06,3.089554e-05
Eeg-eye-state-T1-P,Neighbors,108.0,14980.000000,0.899801,0.901829,0.901758,0.901869,0.056376,2.610572e+00,5.989502e-06,3.089554e-05
Eeg-eye-state-T1-P,Neighbors,108.0,14980.000000,0.810271,0.815467,0.814644,0.815421,0.038380,2.610572e+00,5.989502e-06,3.089554e-05
Eeg-eye-state-T1-P,Neighbors,108.0,14980.000000,0.835261,0.837074,0.837093,0.837116,0.035748,2.610572e+00,5.989502e-06,3.089554e-05
Eeg-eye-state-T1-P,NaiveBayes,107.0,14980.000000,0.539649,0.554566,0.498317,0.518024,0.019315,3.527718e-01,8.093092e-07,4.174645e-06
Eeg-eye-state-T1-P,NaiveBayes,107.0,14980.000000,0.506419,0.532529,0.346248,0.461949,0.019390,3.527718e-01,8.093092e-07,4.174645e-06
Eeg-eye-state-T1-P,NaiveBayes,107.0,14980.000000,0.497959,0.490612,0.312686,0.450935,0.020014,3.527718e-01,8.093092e-07,4.174645e-06
Eeg-eye-state-T1-P,NaiveBayes,107.0,14980.000000,0.497657,0.476541,0.297273,0.448932,0.019441,3.527718e-01,8.093092e-07,4.174645e-06
Eeg-eye-state-T1-P,NaiveBayes,107.0,14980.000000,0.494353,0.434044,0.292478,0.445594,0.020676,3.527718e-01,8.093092e-07,4.174645e-06
Eeg-eye-state-T1-P,GradientBoost,106.0,14980.000000,0.799971,0.806920,0.805204,0.806409,2.692643,1.394945e+01,3.200556e-05,1.650937e-04
Eeg-eye-state-T1-P,GradientBoost,106.0,14980.000000,0.801522,0.813427,0.808236,0.810414,2.704901,1.394945e+01,3.200556e-05,1.650937e-04
Eeg-eye-state-T1-P,GradientBoost,106.0,14980.000000,0.808824,0.816316,0.814169,0.815421,2.800008,1.394945e+01,3.200556e-05,1.650937e-04
Eeg-eye-state-T1-P,GradientBoost,106.0,14980.000000,0.801759,0.814020,0.808504,0.810748,2.703883,1.394945e+01,3.200556e-05,1.650937e-04
Eeg-eye-state-T1-P,GradientBoost,106.0,14980.000000,0.805836,0.815131,0.811789,0.813418,2.684348,1.394945e+01,3.200556e-05,1.650937e-04
Eeg-eye-state-T1-P,Neural,108.0,14980.000000,0.917373,0.920064,0.919739,0.919893,29.699983,2.010612e+02,4.613139e-04,2.379587e-03
Eeg-eye-state-T1-P,Neural,108.0,14980.000000,0.892706,0.894451,0.894448,0.894526,44.503032,2.010612e+02,4.613139e-04,2.379587e-03
Eeg-eye-state-T1-P,Neural,108.0,14980.000000,0.925479,0.925559,0.925303,0.925234,33.834054,2.010612e+02,4.613139e-04,2.379587e-03
Eeg-eye-state-T1-P,Neural,108.0,14980.000000,0.862380,0.867860,0.866559,0.867156,48.375024,2.010612e+02,4.613139e-04,2.379587e-03
Eeg-eye-state-T1-P,Neural,108.0,14980.000000,0.869775,0.872413,0.872297,0.872497,43.652023,2.010612e+02,4.613139e-04,2.379587e-03
Eeg-eye-state-T2,Linear,50.5,14980.000000,0.568244,0.581190,0.572345,0.587116,0.047732,6.116943e-01,1.402265e-06,7.233280e-06
Eeg-eye-state-T2,Linear,50.5,14980.000000,0.608108,0.622090,0.614053,0.624499,0.050867,6.116943e-01,1.402265e-06,7.233280e-06
Eeg-eye-state-T2,Linear,50.5,14980.000000,0.575226,0.590110,0.578755,0.594793,0.050725,6.116943e-01,1.402265e-06,7.233280e-06
Eeg-eye-state-T2,Linear,50.5,14980.000000,0.572003,0.587660,0.574770,0.592457,0.065584,6.116943e-01,1.402265e-06,7.233280e-06
Eeg-eye-state-T2,Linear,50.5,14980.000000,0.551559,0.564465,0.553470,0.572430,0.062284,6.116943e-01,1.402265e-06,7.233280e-06
Eeg-eye-state-T2,Forest,54.0,14980.000000,0.920009,0.924347,0.923300,0.923565,2.581812,1.336245e+01,3.063941e-05,1.580467e-04
Eeg-eye-state-T2,Forest,54.0,14980.000000,0.925633,0.928518,0.928082,0.928238,2.556674,1.336245e+01,3.063941e-05,1.580467e-04
Eeg-eye-state-T2,Forest,54.0,14980.000000,0.932428,0.935729,0.935080,0.935247,2.564119,1.336245e+01,3.063941e-05,1.580467e-04
Eeg-eye-state-T2,Forest,54.0,14980.000000,0.921786,0.926588,0.925279,0.925567,2.559287,1.336245e+01,3.063941e-05,1.580467e-04
Eeg-eye-state-T2,Forest,54.0,14980.000000,0.925311,0.928696,0.928049,0.928238,2.562134,1.336245e+01,3.063941e-05,1.580467e-04
Eeg-eye-state-T2,SupportVector,55.00000000000001,14980.000000,0.711095,0.741968,0.718692,0.728972,4.610469,3.041998e+01,6.982841e-05,3.601946e-04
Eeg-eye-state-T2,SupportVector,55.00000000000001,14980.000000,0.678565,0.702872,0.685474,0.695928,4.751733,3.041998e+01,6.982841e-05,3.601946e-04
Eeg-eye-state-T2,SupportVector,55.00000000000001,14980.000000,0.664319,0.733539,0.664168,0.691923,4.505793,3.041998e+01,6.982841e-05,3.601946e-04
Eeg-eye-state-T2,SupportVector,55.00000000000001,14980.000000,0.606385,0.657526,0.600270,0.635514,4.815776,3.041998e+01,6.982841e-05,3.601946e-04
Eeg-eye-state-T2,SupportVector,55.00000000000001,14980.000000,0.583846,0.633983,0.572190,0.615154,4.994924,3.041998e+01,6.982841e-05,3.601946e-04
Eeg-eye-state-T2,Neighbors,54.50000000000001,14980.000000,0.912732,0.913571,0.913560,0.913551,0.035743,3.141750e+00,7.208474e-06,3.718334e-05
Eeg-eye-state-T2,Neighbors,54.50000000000001,14980.000000,0.862805,0.864182,0.864166,0.864152,0.033577,3.141750e+00,7.208474e-06,3.718334e-05
Eeg-eye-state-T2,Neighbors,54.50000000000001,14980.000000,0.899801,0.901829,0.901758,0.901869,0.034059,3.141750e+00,7.208474e-06,3.718334e-05
Eeg-eye-state-T2,Neighbors,54.50000000000001,14980.000000,0.810271,0.815467,0.814644,0.815421,0.033481,3.141750e+00,7.208474e-06,3.718334e-05
Eeg-eye-state-T2,Neighbors,54.50000000000001,14980.000000,0.835261,0.837074,0.837093,0.837116,0.033454,3.141750e+00,7.208474e-06,3.718334e-05
Eeg-eye-state-T2,NaiveBayes,54.50000000000001,14980.000000,0.539649,0.554566,0.498317,0.518024,0.019303,3.513958e-01,8.061733e-07,4.158469e-06
Eeg-eye-state-T2,NaiveBayes,54.50000000000001,14980.000000,0.506419,0.532529,0.346248,0.461949,0.018645,3.513958e-01,8.061733e-07,4.158469e-06
Eeg-eye-state-T2,NaiveBayes,54.50000000000001,14980.000000,0.497959,0.490612,0.312686,0.450935,0.019079,3.513958e-01,8.061733e-07,4.158469e-06
Eeg-eye-state-T2,NaiveBayes,54.50000000000001,14980.000000,0.497657,0.476541,0.297273,0.448932,0.018687,3.513958e-01,8.061733e-07,4.158469e-06
Eeg-eye-state-T2,NaiveBayes,54.50000000000001,14980.000000,0.494353,0.434044,0.292478,0.445594,0.018561,3.513958e-01,8.061733e-07,4.158469e-06
Eeg-eye-state-T2,GradientBoost,53.5,14980.000000,0.799971,0.806920,0.805204,0.806409,2.786239,1.429274e+01,3.277247e-05,1.690496e-04
Eeg-eye-state-T2,GradientBoost,53.5,14980.000000,0.801522,0.813427,0.808236,0.810414,2.778339,1.429274e+01,3.277247e-05,1.690496e-04
Eeg-eye-state-T2,GradientBoost,53.5,14980.000000,0.808824,0.816316,0.814169,0.815421,2.779138,1.429274e+01,3.277247e-05,1.690496e-04
Eeg-eye-state-T2,GradientBoost,53.5,14980.000000,0.801759,0.814020,0.808504,0.810748,2.804257,1.429274e+01,3.277247e-05,1.690496e-04
Eeg-eye-state-T2,GradientBoost,53.5,14980.000000,0.805836,0.815131,0.811789,0.813418,2.793903,1.429274e+01,3.277247e-05,1.690496e-04
Eeg-eye-state-T2,Neural,95.0,14980.000000,0.923741,0.925206,0.925178,0.925234,20.380724,1.352892e+02,3.102203e-04,1.600204e-03
Eeg-eye-state-T2,Neural,95.0,14980.000000,0.892561,0.893566,0.893543,0.893525,24.147391,1.352892e+02,3.102203e-04,1.600204e-03
Eeg-eye-state-T2,Neural,95.0,14980.000000,0.924212,0.924917,0.924908,0.924900,27.827401,1.352892e+02,3.102203e-04,1.600204e-03
Eeg-eye-state-T2,Neural,95.0,14980.000000,0.856847,0.860091,0.859846,0.860147,25.771316,1.352892e+02,3.102203e-04,1.600204e-03
Eeg-eye-state-T2,Neural,95.0,14980.000000,0.877264,0.879772,0.879662,0.879840,36.885870,1.352892e+02,3.102203e-04,1.600204e-03
Eeg-eye-state-T2-P,Linear,91.5,14980.000000,0.568244,0.581190,0.572345,0.587116,0.049802,1.408393e+00,3.237885e-06,1.670193e-05
Eeg-eye-state-T2-P,Linear,91.5,14980.000000,0.608108,0.622090,0.614053,0.624499,0.056449,1.408393e+00,3.237885e-06,1.670193e-05
Eeg-eye-state-T2-P,Linear,91.5,14980.000000,0.575226,0.590110,0.578755,0.594793,0.056435,1.408393e+00,3.237885e-06,1.670193e-05
Eeg-eye-state-T2-P,Linear,91.5,14980.000000,0.572003,0.587660,0.574770,0.592457,0.074215,1.408393e+00,3.237885e-06,1.670193e-05
Eeg-eye-state-T2-P,Linear,91.5,14980.000000,0.551559,0.564465,0.553470,0.572430,0.064981,1.408393e+00,3.237885e-06,1.670193e-05
Eeg-eye-state-T2-P,Forest,89.0,14980.000000,0.921219,0.925799,0.924624,0.924900,2.573072,8.101346e+00,1.863429e-05,9.612092e-05
Eeg-eye-state-T2-P,Forest,89.0,14980.000000,0.924612,0.928023,0.927379,0.927570,2.560689,8.101346e+00,1.863429e-05,9.612092e-05
Eeg-eye-state-T2-P,Forest,89.0,14980.000000,0.929358,0.932727,0.932065,0.932243,2.530719,8.101346e+00,1.863429e-05,9.612092e-05
Eeg-eye-state-T2-P,Forest,89.0,14980.000000,0.922598,0.927149,0.925965,0.926235,2.536478,8.101346e+00,1.863429e-05,9.612092e-05
Eeg-eye-state-T2-P,Forest,89.0,14980.000000,0.922942,0.926895,0.926004,0.926235,2.538231,8.101346e+00,1.863429e-05,9.612092e-05
Eeg-eye-state-T2-P,SupportVector,88.0,14980.000000,0.711095,0.741968,0.718692,0.728972,4.566468,1.837085e+01,4.234317e-05,2.184180e-04
Eeg-eye-state-T2-P,SupportVector,88.0,14980.000000,0.678565,0.702872,0.685474,0.695928,4.795347,1.837085e+01,4.234317e-05,2.184180e-04
Eeg-eye-state-T2-P,SupportVector,88.0,14980.000000,0.664319,0.733539,0.664168,0.691923,4.553790,1.837085e+01,4.234317e-05,2.184180e-04
Eeg-eye-state-T2-P,SupportVector,88.0,14980.000000,0.606385,0.657526,0.600270,0.635514,4.889194,1.837085e+01,4.234317e-05,2.184180e-04
Eeg-eye-state-T2-P,SupportVector,88.0,14980.000000,0.583846,0.633983,0.572190,0.615154,5.083504,1.837085e+01,4.234317e-05,2.184180e-04
Eeg-eye-state-T2-P,Neighbors,88.0,14980.000000,0.912732,0.913571,0.913560,0.913551,0.034266,1.400641e+00,3.225751e-06,1.663933e-05
Eeg-eye-state-T2-P,Neighbors,88.0,14980.000000,0.862805,0.864182,0.864166,0.864152,0.035208,1.400641e+00,3.225751e-06,1.663933e-05
Eeg-eye-state-T2-P,Neighbors,88.0,14980.000000,0.899801,0.901829,0.901758,0.901869,0.033823,1.400641e+00,3.225751e-06,1.663933e-05
Eeg-eye-state-T2-P,Neighbors,88.0,14980.000000,0.810271,0.815467,0.814644,0.815421,0.033889,1.400641e+00,3.225751e-06,1.663933e-05
Eeg-eye-state-T2-P,Neighbors,88.0,14980.000000,0.835261,0.837074,0.837093,0.837116,0.033923,1.400641e+00,3.225751e-06,1.663933e-05
Eeg-eye-state-T2-P,NaiveBayes,85.0,14980.000000,0.539649,0.554566,0.498317,0.518024,0.019811,3.433464e-01,7.901344e-07,4.075736e-06
Eeg-eye-state-T2-P,NaiveBayes,85.0,14980.000000,0.506419,0.532529,0.346248,0.461949,0.020910,3.433464e-01,7.901344e-07,4.075736e-06
Eeg-eye-state-T2-P,NaiveBayes,85.0,14980.000000,0.497959,0.490612,0.312686,0.450935,0.020753,3.433464e-01,7.901344e-07,4.075736e-06
Eeg-eye-state-T2-P,NaiveBayes,85.0,14980.000000,0.497657,0.476541,0.297273,0.448932,0.019690,3.433464e-01,7.901344e-07,4.075736e-06
Eeg-eye-state-T2-P,NaiveBayes,85.0,14980.000000,0.494353,0.434044,0.292478,0.445594,0.019464,3.433464e-01,7.901344e-07,4.075736e-06
