dataset,model,cpu_load,n_samples,test_accuracy,test_precision,test_f1_score,test_recall,fit_time,emission_time,emissions,energy_consumed
Eeg-eye-state,Linear,3.25,14980.000000,0.568244,0.581190,0.572345,0.587116,0.126552,1.517524e+00,3.470688e-06,1.790279e-05
Eeg-eye-state,Linear,3.25,14980.000000,0.608108,0.622090,0.614053,0.624499,0.129119,1.517524e+00,3.470688e-06,1.790279e-05
Eeg-eye-state,Linear,3.25,14980.000000,0.575226,0.590110,0.578755,0.594793,0.111413,1.517524e+00,3.470688e-06,1.790279e-05
Eeg-eye-state,Linear,3.25,14980.000000,0.572003,0.587660,0.574770,0.592457,0.086774,1.517524e+00,3.470688e-06,1.790279e-05
Eeg-eye-state,Linear,3.25,14980.000000,0.551559,0.564465,0.553470,0.572430,0.075995,1.517524e+00,3.470688e-06,1.790279e-05
Eeg-eye-state,Forest,3.9375,14980.000000,0.927033,0.930881,0.930028,0.930240,1.797778,9.898540e+00,2.269660e-05,1.170754e-04
Eeg-eye-state,Forest,3.9375,14980.000000,0.925078,0.928819,0.928026,0.928238,1.735263,9.898540e+00,2.269660e-05,1.170754e-04
Eeg-eye-state,Forest,3.9375,14980.000000,0.934122,0.936889,0.936449,0.936582,1.754667,9.898540e+00,2.269660e-05,1.170754e-04
Eeg-eye-state,Forest,3.9375,14980.000000,0.925035,0.928866,0.928020,0.928238,1.724577,9.898540e+00,2.269660e-05,1.170754e-04
Eeg-eye-state,Forest,3.9375,14980.000000,0.924264,0.927709,0.927041,0.927236,1.732131,9.898540e+00,2.269660e-05,1.170754e-04
Eeg-eye-state,SupportVector,4.75,14980.000000,0.711095,0.741968,0.718692,0.728972,3.643869,2.483492e+01,5.701486e-05,2.940987e-04
Eeg-eye-state,SupportVector,4.75,14980.000000,0.678565,0.702872,0.685474,0.695928,3.733511,2.483492e+01,5.701486e-05,2.940987e-04
Eeg-eye-state,SupportVector,4.75,14980.000000,0.664319,0.733539,0.664168,0.691923,3.543250,2.483492e+01,5.701486e-05,2.940987e-04
Eeg-eye-state,SupportVector,4.75,14980.000000,0.606385,0.657526,0.600270,0.635514,3.867666,2.483492e+01,5.701486e-05,2.940987e-04
Eeg-eye-state,SupportVector,4.75,14980.000000,0.583846,0.633983,0.572190,0.615154,4.012712,2.483492e+01,5.701486e-05,2.940987e-04
Eeg-eye-state,Neighbors,4.875,14980.000000,0.912732,0.913571,0.913560,0.913551,0.028248,2.161610e+00,4.950964e-06,2.553847e-05
Eeg-eye-state,Neighbors,4.875,14980.000000,0.862805,0.864182,0.864166,0.864152,0.023269,2.161610e+00,4.950964e-06,2.553847e-05
Eeg-eye-state,Neighbors,4.875,14980.000000,0.899801,0.901829,0.901758,0.901869,0.023822,2.161610e+00,4.950964e-06,2.553847e-05
Eeg-eye-state,Neighbors,4.875,14980.000000,0.810271,0.815467,0.814644,0.815421,0.022795,2.161610e+00,4.950964e-06,2.553847e-05
Eeg-eye-state,Neighbors,4.875,14980.000000,0.835261,0.837074,0.837093,0.837116,0.024066,2.161610e+00,4.950964e-06,2.553847e-05
Eeg-eye-state,NaiveBayes,4.875,14980.000000,0.539649,0.554566,0.498317,0.518024,0.011876,3.022165e-01,9.100115e-07,4.694096e-06
Eeg-eye-state,NaiveBayes,4.875,14980.000000,0.506419,0.532529,0.346248,0.461949,0.013089,3.022165e-01,9.100115e-07,4.694096e-06
Eeg-eye-state,NaiveBayes,4.875,14980.000000,0.497959,0.490612,0.312686,0.450935,0.043898,3.022165e-01,9.100115e-07,4.694096e-06
Eeg-eye-state,NaiveBayes,4.875,14980.000000,0.497657,0.476541,0.297273,0.448932,0.015646,3.022165e-01,9.100115e-07,4.694096e-06
Eeg-eye-state,NaiveBayes,4.875,14980.000000,0.494353,0.434044,0.292478,0.445594,0.014323,3.022165e-01,9.100115e-07,4.694096e-06
Eeg-eye-state,GradientBoost,5.1875,14980.000000,0.799971,0.806920,0.805204,0.806409,1.895914,1.055674e+01,2.420859e-05,1.248747e-04
Eeg-eye-state,GradientBoost,5.1875,14980.000000,0.801150,0.813128,0.807882,0.810080,1.875588,1.055674e+01,2.420859e-05,1.248747e-04
Eeg-eye-state,GradientBoost,5.1875,14980.000000,0.808824,0.816316,0.814169,0.815421,1.959584,1.055674e+01,2.420859e-05,1.248747e-04
Eeg-eye-state,GradientBoost,5.1875,14980.000000,0.801759,0.814020,0.808504,0.810748,1.904170,1.055674e+01,2.420859e-05,1.248747e-04
Eeg-eye-state,GradientBoost,5.1875,14980.000000,0.805836,0.815131,0.811789,0.813418,1.882928,1.055674e+01,2.420859e-05,1.248747e-04
Eeg-eye-state,Neural,99.5,14980.000000,0.922802,0.923093,0.922949,0.922897,36.955441,3.048712e+02,6.994617e-04,3.608021e-03
Eeg-eye-state,Neural,99.5,14980.000000,0.890707,0.890838,0.889408,0.889186,67.042732,3.048712e+02,6.994617e-04,3.608021e-03
Eeg-eye-state,Neural,99.5,14980.000000,0.925064,0.926931,0.926816,0.926903,69.941236,3.048712e+02,6.994617e-04,3.608021e-03
Eeg-eye-state,Neural,99.5,14980.000000,0.847747,0.850650,0.850548,0.850801,50.148352,3.048712e+02,6.994617e-04,3.608021e-03
Eeg-eye-state,Neural,99.5,14980.000000,0.868275,0.870063,0.870090,0.870160,79.762422,3.048712e+02,6.994617e-04,3.608021e-03
Eeg-eye-state-P,Linear,92.0625,14980.000000,0.568244,0.581190,0.572345,0.587116,0.042385,1.713717e+00,3.946242e-06,2.035583e-05
Eeg-eye-state-P,Linear,92.0625,14980.000000,0.608108,0.622090,0.614053,0.624499,0.046637,1.713717e+00,3.946242e-06,2.035583e-05
Eeg-eye-state-P,Linear,92.0625,14980.000000,0.575226,0.590110,0.578755,0.594793,0.044671,1.713717e+00,3.946242e-06,2.035583e-05
Eeg-eye-state-P,Linear,92.0625,14980.000000,0.572003,0.587660,0.574770,0.592457,0.059145,1.713717e+00,3.946242e-06,2.035583e-05
Eeg-eye-state-P,Linear,92.0625,14980.000000,0.551559,0.564465,0.553470,0.572430,0.056657,1.713717e+00,3.946242e-06,2.035583e-05
Eeg-eye-state-P,Forest,87.1875,14980.000000,0.926081,0.930406,0.929329,0.929573,2.307070,3.643370e+00,8.451275e-06,4.359406e-05
Eeg-eye-state-P,Forest,87.1875,14980.000000,0.929404,0.932685,0.932070,0.932243,2.198941,3.643370e+00,8.451275e-06,4.359406e-05
Eeg-eye-state-P,Forest,87.1875,14980.000000,0.930708,0.934070,0.933403,0.933578,2.365934,3.643370e+00,8.451275e-06,4.359406e-05
Eeg-eye-state-P,Forest,87.1875,14980.000000,0.924208,0.929531,0.927928,0.928238,2.368198,3.643370e+00,8.451275e-06,4.359406e-05
Eeg-eye-state-P,Forest,87.1875,14980.000000,0.929152,0.932855,0.932045,0.932243,2.225595,3.643370e+00,8.451275e-06,4.359406e-05
Eeg-eye-state-P,SupportVector,78.5625,14980.000000,0.711095,0.741968,0.718692,0.728972,5.435923,9.377616e+00,2.191891e-05,1.130639e-04
Eeg-eye-state-P,SupportVector,78.5625,14980.000000,0.678565,0.702872,0.685474,0.695928,5.800783,9.377616e+00,2.191891e-05,1.130639e-04
Eeg-eye-state-P,SupportVector,78.5625,14980.000000,0.664319,0.733539,0.664168,0.691923,5.469852,9.377616e+00,2.191891e-05,1.130639e-04
Eeg-eye-state-P,SupportVector,78.5625,14980.000000,0.606385,0.657526,0.600270,0.635514,5.847993,9.377616e+00,2.191891e-05,1.130639e-04
Eeg-eye-state-P,SupportVector,78.5625,14980.000000,0.583846,0.633983,0.572190,0.615154,6.348882,9.377616e+00,2.191891e-05,1.130639e-04
